,flow_volume,tcp_flags,fragmentation,gre_header,recon_cardinality,temporal_splt,global_context
Benign_Final,0.15169378,0.103508115,0.04029979,0.14169864,0.19992529,0.13629946,0.22657493
DDoS-ACK_Fragmentation,0.0010386843,0.00036685367,0.021119725,0.0024065636,0.00056099315,0.0009921053,0.97351503
DDoS-HTTP_Flood,0.0077139563,0.016957749,0.0043947105,0.012576189,0.0039392393,0.009683988,0.9447342
DDoS-ICMP_Flood,0.16522813,0.12742995,0.051812742,0.18655764,0.1709338,0.27240342,0.025634348
DDoS-ICMP_Fragmentation,0.0018065299,0.0010331797,0.001583776,0.0015945322,0.008983928,0.0025345136,0.98246354
DDoS-PSHACK_Flood,0.09319381,0.47283807,0.07313289,0.13207966,0.01856343,0.17820515,0.031986974
DDoS-RSTFINFlood,0.039885834,0.54560584,0.02692503,0.2312368,0.061015014,0.08445739,0.010874108
DDoS-SYN_Flood,0.09717735,0.40145668,0.055127073,0.17898875,0.03644026,0.20628066,0.024529194
DDoS-SlowLoris,0.002240912,0.01050102,0.0019353919,0.0014462413,0.0028236024,0.0022151154,0.9788377
DDoS-SynonymousIP_Flood,0.031667285,0.39995784,0.047675766,0.16358814,0.092314094,0.24645106,0.018345797
DDoS-TCP_Flood,0.1105575,0.08367475,0.05195287,0.20196883,0.30607542,0.22564009,0.020130554
DDoS-UDP_Flood,0.15115353,0.1476031,0.15557007,0.30729914,0.07108696,0.14101651,0.026270662
DDoS-UDP_Fragmentation,0.001649281,0.0012691743,0.0064729033,0.0009374247,0.011064178,0.00471408,0.973893
DoS-HTTP_Flood,0.10621661,0.3411233,0.052979197,0.21665663,0.08239393,0.18368222,0.016948162
DoS-SYN_Flood,0.047957536,0.30672732,0.03641913,0.16789827,0.071065545,0.2063046,0.16362756
DoS-TCP_Flood,0.05883388,0.05837021,0.019981798,0.22084807,0.46291488,0.1721945,0.0068566217
DoS-UDP_Flood,0.12571998,0.06964178,0.048346046,0.3343453,0.0767844,0.3281945,0.016967965
Mirai-greeth_flood,0.2117259,0.11400343,0.05962055,0.18077235,0.17870645,0.225636,0.029535316
Mirai-greip_flood,0.20734549,0.12033447,0.05412772,0.17829138,0.20484708,0.20777217,0.027281666
Mirai-udpplain,0.17186119,0.11866345,0.05436247,0.16540769,0.20360762,0.25903445,0.02706305
Recon-HostDiscovery,0.09468376,0.28536126,0.068093486,0.25404412,0.12667254,0.14032422,0.030820671
Recon-OSScan,0.09614058,0.19297655,0.043969568,0.16925985,0.35785934,0.11885529,0.020938816
Recon-PortScan,0.09848907,0.22594154,0.056454998,0.17333312,0.3014412,0.11734599,0.026994072
VulnerabilityScan,0.05806223,0.027277898,0.0147438925,0.0345606,0.06262295,0.0315912,0.77114123
